Code,im_Manifest,im_WinCan_VSA2019,real_verwendet_Projekt,Manifest_Titel,selektierbar,Bewertung
AECX,0,1,0,,,nur WinCan – Zwischencode (Manifest hat Kinder)
AECXA,1,1,0,Rohrprofilwechsel,True,OK (beide)
AECXB,1,1,0,Rohrprofilwechsel: Eiprofil,True,OK (beide)
AECXC,1,1,1,Rohrprofilwechsel: Kreisprofil,True,OK (beide)
AECXD,1,1,0,Rohrprofilwechsel: Maulprofil,True,OK (beide)
AECXE,1,1,0,Rohrprofilwechsel: offenes Profil,True,OK (beide)
AECXF,1,1,0,Rohrprofilwechsel: Rechteckprofil,True,OK (beide)
AECXG,1,1,0,Rohrprofilwechsel: Spezialprofil,True,OK (beide)
AECXH,1,1,0,Rohrprofilwechsel: unbekanntes Profil,True,OK (beide)
AEDXA,1,1,0,Rohrmaterialwechsel,True,OK (beide)
AEDXB,1,1,0,Rohrmaterialwechsel: Asbestzement,True,OK (beide)
AEDXC,1,1,0,Rohrmaterialwechsel: Normalbeton,True,OK (beide)
AEDXD,1,1,0,Rohrmaterialwechsel: Ortsbeton,True,OK (beide)
AEDXE,1,1,0,Rohrmaterialwechsel: Pressrohrbeton,True,OK (beide)
AEDXF,1,1,0,Rohrmaterialwechsel: Spezialbeton,True,OK (beide)
AEDXG,1,1,1,Rohrmaterialwechsel: Beton,True,OK (beide)
AEDXH,1,1,0,Rohrmaterialwechsel: Faserzement,True,OK (beide)
AEDXI,1,1,0,Rohrmaterialwechsel: Gebrannte Steine,True,OK (beide)
AEDXJ,1,1,0,Rohrmaterialwechsel: Duktiler Guss,True,OK (beide)
AEDXK,1,1,0,Rohrmaterialwechsel: Grauguss,True,OK (beide)
AEDXL,1,1,0,Rohrmaterialwechsel: Epoxidharz,True,OK (beide)
AEDXM,1,1,0,Rohrmaterialwechsel: Hartpolyethylen,True,OK (beide)
AEDXN,1,1,0,Rohrmaterialwechsel: Polyester GUP,True,OK (beide)
AEDXO,1,1,0,Rohrmaterialwechsel: Polyethylen,True,OK (beide)
AEDXP,1,1,1,Rohrmaterialwechsel: Polypropylen,True,OK (beide)
AEDXQ,1,1,1,Rohrmaterialwechsel: Polyvinylchlorid,True,OK (beide)
AEDXR,1,1,0,Rohrmaterialwechsel: Kunststoff unbekannt,True,OK (beide)
AEDXS,1,1,0,Rohrmaterialwechsel: Stahl,True,OK (beide)
AEDXT,1,1,0,Rohrmaterialwechsel: Rostfreier Stahl,True,OK (beide)
AEDXU,1,1,1,Rohrmaterialwechsel: Steinzeug,True,OK (beide)
AEDXV,1,1,0,Rohrmaterialwechsel: Ton,True,OK (beide)
AEDXW,1,1,0,Rohrmaterialwechsel: unbekanntes Material,True,OK (beide)
AEDXX,1,1,0,Rohrmaterialwechsel: Zement,True,OK (beide)
AEF,1,0,1,Neue Baulänge,True,nur Manifest – Basiscode (WinCan-CloseCode-Artefakt)
BAA,1,0,0,Verformung,True,nur Manifest – Basiscode (WinCan-CloseCode-Artefakt)
BAAA,1,1,1,Rohr vertikal deformiert,True,OK (beide)
BAAB,1,1,0,Rohr horizontal deformiert,True,OK (beide)
BAB,1,0,0,Riss,True,nur Manifest – Basiscode (WinCan-CloseCode-Artefakt)
BABA,0,1,0,,,nur WinCan – Zwischencode (Manifest hat Kinder)
BABAA,1,1,1,Oberflächenriss (Haarriss) längs,True,OK (beide)
BABAB,1,1,1,Oberflächenriss (Haarriss) radial,True,OK (beide)
BABAC,1,1,0,"Oberflächenriss (Haarriss), komplexe Rissbildung",True,OK (beide)
BABAD,1,1,0,"Oberflächenriss (Haarriss), spiralförmige Rissbildung",True,OK (beide)
BABAE,1,1,0,"Oberflächenriss (Haarriss), sternförmige Rissbildung",True,OK (beide)
BABB,0,1,0,,,nur WinCan – Zwischencode (Manifest hat Kinder)
BABBA,1,1,1,Riss längs,True,OK (beide)
