file,type,name,kind,line,lines,hasBody,branches
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,Distribute,MethodDeclaration,25,5,True,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,Distribute,MethodDeclaration,31,38,True,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeFiles,MethodDeclaration,70,5,True,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeFiles,MethodDeclaration,76,45,True,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxt,MethodDeclaration,122,5,True,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxt,MethodDeclaration,128,43,True,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxtFiles,MethodDeclaration,172,5,True,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxtFiles,MethodDeclaration,178,40,True,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeTxtCore,MethodDeclaration,219,177,True,17
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeCore,MethodDeclaration,397,171,True,21
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShafts,MethodDeclaration,569,4,True,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShafts,MethodDeclaration,574,22,True,2
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShaftFiles,MethodDeclaration,597,4,True,0
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShaftFiles,MethodDeclaration,602,26,True,1
src/AuswertungPro.Next.Infrastructure/HoldingFolderDistributor.cs,HoldingFolderDistributor,DistributeShaftCore,MethodDeclaration,629,74,True,8
