haltung;ort;strasse;profil;material;meter;en_code;beschreibung;uhr_von;uhr_bis;stufe;timestamp_video;foto_datei;foto_nr
07.1026776-10.1064901;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;1.6;BCCBB;"Allgemeinzustand, Fotobeispiel Position Pos: 5; Bogen nach rechts unten, Winkel = 45°";5;5;;00:00:36;;42
07.1026776-10.1064901;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;3.1;BCCAA;"Bogen nach links unten, Winkel = 30° Pos: 3; Bogen nach links oben, Winkel = 45°";3;3;;00:01:04;;44
07.1026776-10.1064901;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;3.5;BCE;Rohrende, Einlauf in Leitung Position;;;;00:01:12;;45
07.1026777-10.1064902;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;0.0;BDA;Allgemeine Anmerkung, Keine Inspektion möglich,DW kann nicht demontiert werden Position Allgemeinzustand, Fotobeispiel Position;;;;;;90
07.1026777-10.1064902;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;0.0;BDA;Allgemeinzustand, Fotobeispiel, Leitung kann nur mit Sat gefilmt werden. Position;;;;;;91
07.1026781-1042614;6487 Göschenen;Unterdorfstrasse;Kreisprofil 125 / 125mm;Polyethylen;0.0;BDA;Anschluss mit Formstück, Höhe = 0mm, Breite = 0mm Entf. gegen Fließr. 0,20 m Allgemeinzustand, Fotobeispiel Entf. gegen Fließr. 0,20 m Position;2;2;;00:00:33;;198
07.1026781-1042614;6487 Göschenen;Unterdorfstrasse;Kreisprofil 125 / 125mm;Polyethylen;0.0;BCCYA;"Rohrprofilwechsel: Kreisprofil, Höhe = 100mm, Breite = 100mm, Durchmesser nicht messbar Entf. gegen Fließr. 0,40 m Position Pos: 12; Bogen nach oben, Winkel = 90° Entf. gegen Fließr. 1,20 m";12;12;;00:01:14;;200
07.1026781-1042614;6487 Göschenen;Unterdorfstrasse;Kreisprofil 125 / 125mm;Polyethylen;0.0;BCE;Rohrende, DW Entf. gegen Fließr. 1,40 m Position;;;;00:01:23;;201
07.1026782-1042614;6487 Göschenen;Unterdorfstrasse;Kreisprofil 80 / 80mm;Polypropylen;0.0;BCCYA;"Allgemeinzustand, Fotobeispiel Entf. gegen Fließr. 0,70 m Position Pos: 12; Bogen nach oben, Winkel = 90° Entf. gegen Fließr. 1,50 m";12;12;;00:00:35;;203
07.1026782-1042614;6487 Göschenen;Unterdorfstrasse;Kreisprofil 80 / 80mm;Polypropylen;0.0;BCE;Rohrende, DW Entf. gegen Fließr. 1,70 m Position;;;;00:00:44;;204
07.1027117-9967;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;0.0;BDA;Bogen nach oben, Winkel = 45° Entf. gegen Fließr. 0,40 m Allgemeinzustand, Fotobeispiel Entf. gegen Fließr. 0,50 m Position;12;12;;00:00:36;;126
07.1027117-9967;6487 Göschenen;Unterdorfstrasse;Kreisprofil 100 / 100mm;Polypropylen;0.0;BCE;Bogen nach oben, Winkel = 45° Entf. gegen Fließr. 0,90 m Rohrende, DW Entf. gegen Fließr. 1,00 m Position;12;12;;00:00:53;;128
07.1027174-9327;6487 Göschenen;Unterdorfstrasse;Kreisprofil 125 / 125mm;Polypropylen;0.0;BCCYA;"Allgemeinzustand, Fotobeispiel Entf. gegen Fließr. 0,40 m Position Pos: 12; Bogen nach oben, Winkel = 45° Entf. gegen Fließr. 1,20 m";12;12;;00:00:32;;134
