haltung,pdf_file,pdf_kb,text_len,format,entries,readable
"07.1023447-59934","20241011_07.1023447-59934.pdf",2054,2054,IKAS_Caesar,0,False
"07.1026777-10.999016","20250314_07.1026777-10.999016.pdf",632,6856,WinCan_Standard,5,True
"07.1026779-10750","20250310-07.1026779-10750.pdf",484,5848,WinCan_Standard,6,True
"07.1026781-10254","20250311_07.1026781-10254.pdf",830,6848,WinCan_Standard,7,True
"07.1026783-9788","20250311_07.1026783-9788.pdf",484,4534,WinCan_Standard,4,True
"07.1027175-9326","20250310_07.1027175-9326.pdf",1229,7363,WinCan_Standard,7,True
"07.1027177-8993","20250310_07.1027177-8993.pdf",579,4926,WinCan_Standard,5,True
"07.1027186-10417","20250312_07.1027186-10417.pdf",1119,9514,WinCan_Standard,8,True
"07.1027613-10524","20250311_07.1027613-10524.pdf",838,7293,WinCan_Standard,8,True
"07.1027615-10523","20250311_07.1027615-10523.pdf",1704,11808,WinCan_Standard,11,True
"07.1028024-10254","20250311_07.1028024-10254.pdf",1289,9255,WinCan_Standard,7,True
"07.1028026-10118","20250311_07.1028026-10118.pdf",161,3420,WinCan_Standard,2,True
"07.1028055-10285","20250318_07.1028055-10285.pdf",1616,11863,WinCan_Standard,10,True
"07.1036566-10.1036568","20251215_07.1036566-10.1036568.pdf",916,2017,IKAS_Normal,0,False
"07.1036569-10.1036570","20251215_07.1036569-10.1036570.pdf",935,2017,IKAS_Normal,0,False
"07.1064896-1042608","20251105_07.1064896-1042608.pdf",877,2222,Unknown,0,False
"07.1066252-10.1066251","20251113_07.1066252-10.1066251.pdf",378,4347,WinCan_Standard,4,True
"07.1066257-54818","20251113_07.1066257-54818.pdf",1336,11416,WinCan_Standard,10,True
"07.1070099-80631","20250925_07.1070099-80631.pdf",1208,7836,Fretz_Format,6,True
"07.3706686-690731","20220520_07.3706686-690731.pdf",174,6560,Unknown,12,True
"07.638901-75925","20250923_07.638901-75925.pdf",887,5716,Fretz_Format,4,True
"07.638903-80628","20251001_07.638903-80628.pdf",1023,7362,Fretz_Format,5,True
"07.638906-78998","20251006_07.638906-78998.pdf",2109,15733,Fretz_Format,18,True
"07.638907-07.638908","07.638907-07.638908.pdf",1419,10366,Fretz_Format,10,True
